T,Cv_cumul_N=1,chi_cumul_N=1,Cv_cumul_N=2,chi_cumul_N=2,Cv_cumul_N=3,chi_cumul_N=3,Cv_cumul_N=4,chi_cumul_N=4,Cv_cumul_N=5,chi_cumul_N=5,Cv_cumul_N=6,chi_cumul_N=6,Cv_cumul_N=7,chi_cumul_N=7
0.1,0.0,0.20480000000000004,0.00028555387045256807,0.204819039517522,0.0003294974727141859,0.2283071993953976,0.0010118565274225355,0.23551946627475093,0.0011250417515965175,0.24167898427001167,0.0015304006027417553,0.2444859447678077,0.0016377896978667834,0.24645515630272968
0.1331103678929766,0.0,0.15385728643216084,0.0019330396810679354,0.1540291059198768,0.0022527477737336217,0.17167649125036133,0.004109754062463893,0.17730138533366754,0.004544040331918564,0.18195131866869826,0.005293684394360073,0.1841857008600358,0.005572266933396806,0.1856916239219904
0.1662207357859532,0.0,0.12320965794768614,0.0054738191381179455,0.12382067139878193,0.006482224550874812,0.1379649223453277,0.009554635181070702,0.14282708659854626,0.010499875517837626,0.14661127358391848,0.011545334956387487,0.14855074531224563,0.012033172729493911,0.14980472319509147
0.19933110367892978,0.0,0.10274362416107385,0.010086622317979826,0.10411065272017972,0.012195070065652023,0.11594456692986027,0.016229645856259817,0.12043331136050713,0.017770219813861895,0.12368835128137624,0.019072857815562134,0.12545381052760401,0.019770549831823213,0.12655969637553627
0.23244147157190637,0.0,0.08810820143884894,0.014559207434337107,0.0904559489587881,0.018031362535201014,0.10068616752495667,0.022755105325925926,0.10497817508309738,0.02487770781936509,0.1078983286345718,0.026417581690476265,0.10954810825452105,0.027307039994699665,0.11056102435465846
0.2655518394648829,0.0,0.07712241813602018,0.018058810719705394,0.08054148959228846,0.022960002665112392,0.0896284450684684,0.028172162681285882,0.09379886683558324,0.030803635316731956,0.09650086588915578,0.03256216612150758,0.09806686177744293,0.03361765270521104,0.09901753468467904
0.29866220735785953,0.0,0.0685724524076148,0.020285736734185475,0.07303736915406354,0.026506892925614173,0.08129723109169831,0.03207023366598455,0.0853762697777925,0.035111887943227754,0.08793137161330573,0.03706228741209846,0.08943310318557109,0.03825513946584565,0.09033937546620242
0.33177257525083614,0.0,0.061729032258064524,0.021317082498927466,0.0671383426807729,0.028634000840983026,0.07479316732945618,0.034445536686530935,0.0787927757915235,0.03779480550792546,0.08124475884780226,0.0399017832604715,0.0826950994333616,0.041202545930278334,0.08356772649526434
0.36488294314381275,0.0,0.056127589367552716,0.02140431126717758,0.06234228907392508,0.029540374917430327,0.06954877143124688,0.03551167129284154,0.07347414867841146,0.0390731427374415,0.07584999304798976,0.04129672474253622,0.0772577725742147,0.0426765760668858,0.07810345995376548
0.39799331103678937,0.0,0.0514581512605042,0.02083184688027387,0.05832951529884564,0.02950714341394045,0.06519773495947982,0.03555682235729366,0.06905180309409721,0.03924688704245178,0.07136816420648381,0.04154669090761331,0.07273954800858247,0.042978639416943215,0.07356260187201631
0.43110367892976587,0.0,0.04750597362296355,0.019846926821131955,0.05489232935282711,0.02880909576422682,0.061498968102934135,0.034862468641051865,0.06528390844147464,0.03861069206487169,0.06755107331135463,0.04094915378849903,0.06889040433448879,0.04240897040302076,0.06969366377994161
0.4642140468227425,0.0,0.044117579250720476,0.018637598809024162,0.05189266784913618,0.02767669020428411,0.05829063728240465,0.033667820739074227,0.06200832607288572,0.037416742259778084,0.0642326435920061,0.03976102575828727,0.06554300470208256,0.041227822850548254,0.06632838952891766
0.4973244147157191,0.0,0.041180363147276404,0.017335001594990213,0.04923628597218951,0.026287086589248138,0.0554617728590079,0.03216069530128165,0.059113870010516045,0.035864868886247854,0.06129925226099452,0.03818768229198741,0.06258285653717253,0.039644135040171856,0.06335170083689864
0.5304347826086957,0.0,0.03860983606557378,0.01602453181470539,0.04685693209563398,0.02476868347377717,0.05293451078258422,0.03048097257021395,0.05652247413201518,0.034105640003303794,0.058671329968487354,0.0363852946093171,0.05992979426317185,0.03781756917295905,0.060683055517348275
0.5635451505016723,0.0,0.03634136498516321,0.014758167973328887,0.044706577076643154,0.023210296201629902,0.05065287059156551,0.028728673145389412,0.05417797482525576,0.032248283642698945,0.05629179434528054,0.034468294614549644,0.0575263304560633,0.035865774852153774,0.05826472329143241
0.5966555183946488,0.0,0.03432466367713006,0.013564927774010424,0.04274932289198597,0.02167070358731479,0.0485755879081547,0.026972724068374764,0.0520389590624482,0.030369437694955263,0.054118681502219664,0.032517889788732435,0.05533022877300377,0.03387279035368677,0.05605431156431569
0.6297658862876254,0.0,0.03252002124269783,0.012458763643942007,0.04095755460054752,0.020186872878455994,0.04667148172572967,0.025258768945453036,0.05007413973499479,0.028521036901060795,0.05212038559293344,0.030589865543660565,0.05330970208662627,0.03189680078061883,0.054019933309757476
0.662876254180602,0.0,0.030895660948536838,0.01144414283634706,0.03930946865125281,0.01878043839835874,0.04491641992533994,0.02361552244986406,0.048259320469829795,0.026736802933374958,0.05027253759188958,0.028721083456888487,0.05144026219743177,0.02997664000601514,0.05213703705719045
0.6959866220735786,0.0,0.029425852955309955,0.01051982524614102,0.03778745369032238,0.01746254732204912,0.043291302328342475,0.02205968194162066,0.046575372450543016,0.025037321903606205,0.048555927071465936,0.026934618450624708,0.049702621378759755,0.02813696058115864,0.050386295454526886
0.7290969899665551,0.0,0.02808954128440368,0.009681341279609387,0.03637700609915831,0.016237364532066034,0.0417806986951874,0.02059960159040906,0.045006863906031896,0.02343389278668533,0.04695509623191141,0.025243690766351676,0.04808127242052789,0.02639221314482788,0.048752176736117245
0.7622073578595318,0.0,0.026869328652917954,0.008922573660983034,0.03506598613105145,0.01510454750124473,0.04037191338159317,0.019237978367823576,0.04354111617102536,0.021931381042227707,0.04545737305030694,0.023654609676619646,0.04656351217048283,0.02474964249866042,0.047221962603594105
0.7953177257525084,0.0,0.025750714886459216,0.008236739786090758,0.03384409486779324,0.01406096089936013,0.039054331560902954,0.017973781218361216,0.042167542392856486,0.020530299740521753,0.04405219521269933,0.022168941181690147,0.045138758909060994,0.023211506533884145,0.045785061882739536
0.828428093645485,0.0,0.024721517965280587,0.007616981742303813,0.032702497176698805,0.013101844376427828,0.03781895383987902,0.016803615931994066,0.04087717615989511,0.01922830644496396,0.04273062929582774,0.020785082760032682,0.04379806708976425,0.021776697735531543,0.04443252284394775
0.8615384615384616,0.0,0.023771428571428575,0.007056704193396276,0.0316335432548774,0.012221594167463528,0.03665805876774455,0.01572267705821037,0.03966232957938828,0.018021266193843737,0.04148502290894075,0.019499393425227895,0.04253377650245331,0.02044191400802503,0.04315668081307739
0.8946488294314382,0.0,0.02289166355140187,0.0065497530791365855,0.03063055822592595,0.011414275747635844,0.03556495349010585,0.014725401803488795,0.038516340876554214,0.016903996543173965,0.040308748675685985,0.018306994800342237,0.04133925428489685,0.019202494171569797,0.0419508992087244
0.9277591973244147,0.0,0.022074693583273255,0.0060904958296842965,0.029687679774843306,0.010673951366477991,0.03453378611060121,0.013805911267343093,0.037433384821340766,0.015870782115985492,0.039196012572111735,0.01720233140610255,0.04020870198274102,0.018053006621636822,0.040809376011201985
0.9608695652173913,0.0,0.021314027149321273,0.005673842248121259,0.028799730454285744,0.009994881564069236,0.033559401950590276,0.012958301417858448,0.03640832791187924,0.014915723577198324,0.03814170802149544,0.01617955630034582,0.03913700883934409,0.01698765791630895,0.03972699671330869
0.9939799331103679,0.0,0.020604037685060573,0.00529523102316095,0.027962115558212347,0.009371641904709802,0.03263723154957273,0.012176828907012728,0.03543661592521584,0.01403296868341827,0.03714130300177499,0.015232791081765939,0.03811963841913262,0.016000571058662892,0.03869922076808254
1.0270903010033445,0.0,0.019939824161510914,0.004950597583134551,0.027170740236763562,0.008799183457058218,0.03176320199370229,0.011456024034249081,0.03451418523190021,0.013216860076497666,0.03619075132357189,0.014356296254813463,0.03715253961702743,0.015085970232352081,0.03772199252668514
1.0602006688963213,0.0,0.019317097791798108,0.0046363330214520895,0.026421941367051623,0.008272856612591886,0.030933665669188846,0.010790753833842794,0.03363739182239184,0.012462024866399128,0.03528642186669759,0.01354457820264487,0.03623207576887035,0.014238298941961252,0.03679167034163334
1.0933110367892978,0.0,0.018732089323952282,0.004349239986368006,0.025712430936056713,0.007788411598327862,0.030145342238925524,0.010176251517484195,0.0328029537320794,0.011763423985128642,0.03442504135522557,0.012792451788224673,0.03535496739260564,0.013452291197518892,0.03590496933877948
1.1264214046822745,0.0,0.01818147268408551,0.004086488986013879,0.025039248544354034,0.0073419847151062045,0.029395270808414233,0.009608123665168406,0.03200790375024163,0.011116374147013067,0.03360364748611588,0.01209507228908796,0.03451824534065535,0.012723009974558639,0.035058914621168606
1.159531772575251,0.0,0.01766230170175945,0.003845577021472233,0.024399721235573574,0.006930076348816467,0.02868077005838687,0.009082343106097438,0.03124955013384519,0.010516551522723497,0.03281955008674069,0.01144794648664455,0.03371921201530296,0.01204586320651935,0.03425080254539725
1.1926421404682275,0.0,0.017171957375210323,0.0036242895048492763,0.023791429281026136,0.006549524752785773,0.027999404692329602,0.008595232981025007,0.030525443636313498,0.009959983546983225,0.03207029858276431,0.010846929905433277,0.03295540891268039,0.01141660465985299,0.033478168328995965
1.2257525083612042,0.0,0.016708103683492497,0.003420665836863175,0.02321217685665263,0.006197478199211947,0.02734895695385858,0.008143445745482715,0.029833349581758987,0.009443033350519912,0.031353654489596004,0.010288215151242725,0.03222458919806333,0.010831324925916526,0.032738758687228434
1.2588628762541807,0.0,0.01626865037194474,0.003232968673887807,0.02265996677636348,0.005871367145984087,0.026727402262473724,0.007723939654362023,0.029171224018562574,0.008962379927108065,0.030667567951671335,0.00976831482040951,0.031524694329923816,0.010286436228628903,0.03203050851427612
1.2919732441471574,0.0,0.01585172146000518,0.0030596567200664674,0.022132978615904114,0.005568877423193026,0.02613288823086703,0.0073339544144781724,0.02853719320773104,0.00851499616386254,0.030010157580419167,0.00928404139120725,0.030853833979347243,0.00977865363745108,0.03135152085413786
1.325083612040134,0.0,0.015455628470469461,0.00289936077955996,0.021629549690811167,0.005287925014408647,0.02556371648593118,0.006970987096957348,0.027929535865150693,0.008098126166144456,0.029379693008731396,0.008832485748363145,0.0302102686601305,0.009304974476526303,0.030700049576058035
1.3581939799331104,0.0,0.015078847574489044,0.002750862760953925,0.02114815845192775,0.00502663272443211,0.025018326834850113,0.00663276898980669,0.027346667699213,0.00770926281693984,0.028774579704164954,0.00841099545021318,0.02959239461047499,0.008862657148227397,0.03007448429538061
