n_config,n_voisin,liaisons
12,13,"[(0, 1), (0, 3), (0, 4), (1, 2), (3, 4)]"
6,13,"[(0, 1), (0, 2), (0, 4), (1, 2), (1, 3)]"
3,14,"[(0, 1), (0, 4), (1, 2), (3, 4)]"
12,14,"[(0, 1), (0, 4), (1, 2), (3, 4)]"
12,12,"[(0, 1), (0, 2), (0, 4), (1, 2), (1, 3), (2, 4)]"
12,14,"[(0, 1), (0, 4), (1, 2), (3, 4)]"
12,14,"[(0, 1), (0, 3), (1, 2), (3, 4)]"
6,14,"[(0, 1), (0, 4), (1, 2), (3, 4)]"
6,14,"[(0, 1), (1, 2), (1, 4), (2, 3)]"
12,13,"[(0, 1), (0, 3), (0, 4), (1, 2), (1, 3)]"
12,13,"[(0, 1), (0, 4), (1, 2), (1, 3), (2, 3)]"
12,13,"[(0, 1), (0, 3), (1, 2), (1, 4), (2, 4)]"
6,14,"[(0, 1), (0, 4), (1, 3), (2, 3)]"
6,14,"[(0, 3), (1, 2), (1, 4), (2, 3)]"
6,12,"[(0, 1), (0, 2), (0, 4), (1, 2), (1, 3), (1, 4)]"
6,11,"[(0, 1), (0, 2), (1, 2), (1, 3), (1, 4), (2, 4), (3, 4)]"
3,12,"[(0, 1), (0, 2), (1, 2), (1, 3), (1, 4), (3, 4)]"
6,13,"[(0, 1), (0, 2), (1, 2), (1, 3), (2, 4)]"
12,14,"[(0, 4), (1, 2), (1, 3), (1, 4)]"
6,14,"[(0, 1), (0, 2), (1, 4), (3, 4)]"
12,14,"[(0, 1), (0, 2), (1, 3), (3, 4)]"
6,13,"[(0, 4), (1, 2), (1, 3), (2, 4)]"
