n_config,n_voisin,liaisons
12,13,"[(0, 1), (0, 4), (0, 5), (1, 3), (1, 4), (1, 5), (2, 5), (3, 5)]"
6,12,"[(0, 1), (0, 4), (0, 5), (1, 3), (1, 4), (2, 4), (2, 5), (3, 4), (4, 5)]"
12,14,"[(0, 1), (0, 4), (0, 5), (1, 3), (1, 4), (2, 4), (3, 4)]"
12,14,"[(0, 1), (0, 4), (0, 5), (1, 3), (1, 4), (2, 4), (3, 4)]"
3,14,"[(0, 1), (0, 5), (1, 3), (1, 4), (1, 5), (2, 5), (3, 5)]"
6,14,"[(0, 1), (0, 4), (1, 3), (1, 4), (2, 4), (2, 5), (3, 4)]"
12,14,"[(0, 1), (0, 4), (1, 3), (1, 4), (2, 4), (2, 5), (3, 4)]"
6,12,"[(0, 1), (0, 3), (0, 4), (0, 5), (1, 3), (1, 4), (2, 4), (2, 5), (4, 5)]"
2,12,"[(0, 1), (0, 3), (0, 4), (0, 5), (1, 3), (2, 3), (2, 5), (3, 5), (4, 5)]"
12,13,"[(0, 1), (0, 4), (0, 5), (1, 3), (1, 4), (2, 4), (2, 5), (4, 5)]"
12,13,"[(0, 1), (0, 3), (0, 5), (1, 3), (1, 4), (2, 3), (2, 5), (3, 5)]"
6,13,"[(0, 1), (0, 4), (0, 5), (1, 4), (1, 5), (2, 3), (2, 5), (3, 5)]"
12,14,"[(0, 1), (0, 4), (0, 5), (1, 4), (2, 3), (2, 4), (3, 4)]"
12,14,"[(0, 1), (0, 4), (0, 5), (1, 4), (2, 3), (2, 4), (3, 4)]"
12,14,"[(0, 1), (0, 3), (0, 4), (1, 3), (1, 4), (2, 4), (2, 5)]"
12,14,"[(0, 1), (0, 3), (0, 4), (1, 3), (1, 4), (2, 4), (2, 5)]"
12,14,"[(0, 2), (0, 4), (0, 5), (1, 3), (2, 4), (2, 5), (3, 5)]"
6,14,"[(0, 1), (0, 3), (0, 4), (1, 3), (1, 4), (2, 4), (3, 5)]"
6,14,"[(0, 2), (0, 4), (0, 5), (1, 4), (2, 4), (2, 5), (3, 5)]"
12,15,"[(0, 1), (0, 4), (0, 5), (1, 3), (1, 4), (2, 4)]"
12,15,"[(0, 1), (0, 3), (0, 4), (1, 3), (2, 3), (2, 5)]"
12,14,"[(0, 1), (0, 3), (0, 4), (1, 3), (2, 3), (2, 5)]"
12,15,"[(0, 2), (0, 4), (0, 5), (1, 3), (2, 4), (3, 4)]"
4,15,"[(0, 1), (0, 3), (0, 5), (1, 3), (1, 4), (2, 3)]"
12,15,"[(0, 1), (0, 3), (0, 5), (1, 3), (2, 3), (2, 4)]"
12,15,"[(0, 1), (0, 3), (0, 5), (1, 3), (2, 3), (2, 4)]"
12,15,"[(0, 2), (0, 4), (0, 5), (1, 3), (2, 4), (3, 4)]"
12,15,"[(0, 2), (0, 4), (0, 5), (1, 5), (2, 4), (3, 4)]"
12,15,"[(0, 5), (1, 2), (1, 4), (1, 5), (2, 4), (3, 4)]"
12,15,"[(0, 1), (0, 3), (0, 5), (1, 3), (2, 3), (4, 5)]"
12,15,"[(0, 1), (0, 4), (1, 3), (1, 4), (2, 4), (2, 5)]"
12,15,"[(0, 1), (0, 4), (1, 3), (1, 4), (2, 4), (2, 5)]"
12,15,"[(0, 2), (0, 5), (1, 3), (2, 4), (2, 5), (3, 5)]"
6,14,"[(0, 1), (0, 3), (1, 3), (2, 3), (2, 4), (2, 5), (4, 5)]"
6,14,"[(0, 2), (0, 4), (1, 3), (1, 5), (2, 4), (3, 4), (3, 5)]"
12,15,"[(0, 1), (0, 4), (1, 4), (2, 4), (2, 5), (3, 5)]"
12,15,"[(0, 1), (0, 3), (1, 3), (2, 3), (2, 5), (4, 5)]"
