T,Cv_cumul_N=1,chi_cumul_N=1,Cv_cumul_N=2,chi_cumul_N=2,Cv_cumul_N=3,chi_cumul_N=3,Cv_cumul_N=4,chi_cumul_N=4,Cv_cumul_N=5,chi_cumul_N=5,Cv_cumul_N=6,chi_cumul_N=6,Cv_cumul_N=7,chi_cumul_N=7
0.1,0.0,0.13107200000000008,0.0002741317156344654,0.13109027793682118,0.00031043882959991476,0.15578639375410197,0.0017100307139164864,0.15754705179281114,0.0021671958742537877,0.16515631035826575,0.0033262888760842275,0.16664049509589507,0.003689361242042596,0.16950924155278776
0.1331103678929766,0.0,0.09846866331658297,0.0018557180938252183,0.09863361002479029,0.00212227299429806,0.11718836947426163,0.005394304621158925,0.11914269948381653,0.00622288176749191,0.12489203912187312,0.008134487556782827,0.12651088656884457,0.008804915043242354,0.1287293841140617
0.1662207357859532,0.0,0.07885418108651915,0.005254866372593228,0.07944075399957111,0.0061057020384800015,0.09431087534499007,0.011121214690799538,0.0967273421817683,0.012562029357918883,0.10140658992678328,0.014991426309132208,0.10319908549751444,0.016047301832753873,0.1050748920488629
0.19933110367892978,0.0,0.06575591946308727,0.009683157425260635,0.0670682668798289,0.01148362587414464,0.07950505757697889,0.017745938656704877,0.08241491262876709,0.019927766089727742,0.08643989195426491,0.02269967521823249,0.08835925760750092,0.024142564143944657,0.09004640654327434
0.23244147157190637,0.0,0.05638924892086333,0.013976839136963626,0.05864308654000492,0.016974373755206138,0.06938533065644446,0.023984757784757733,0.07271147146295007,0.026904582807049725,0.07632640783589613,0.029918082113556357,0.07831874396994828,0.03169757825887675,0.07989857841580637
0.2655518394648829,0.0,0.049358347607052926,0.017336458290917182,0.052640656205070475,0.021609100145180887,0.06216802550224522,0.028996833230050676,0.06580446327300318,0.03255635964754359,0.06915846337669324,0.03575035540227825,0.07118334900864617,0.0377948586680173,0.07269886585813044
0.29866220735785953,0.0,0.04388636954087348,0.01947430726481806,0.04817268961746428,0.024945678187054968,0.05681402675417177,0.032470410203630166,0.06066239807726258,0.036526426949363026,0.06384681002377045,0.03985462917938933,0.06587810506566878,0.042091712120447954,0.06735158505680203
0.33177257525083614,0.0,0.039506580645161306,0.020464399198970373,0.04469951865096135,0.0269523924068918,0.052686177531012506,0.034467419826948016,0.05666759968316113,0.03887066732215502,0.059737731392656215,0.042290410606347126,0.06175971824911064,0.0446559795004061,0.06320237354456482
0.36488294314381275,0.0,0.03592165719523375,0.02054813881649048,0.04188776891335122,0.02781884435057822,0.049383948216412,0.03523461011111296,0.05343963478769408,0.03985130242277297,0.05642838209642131,0.043321100253274854,0.058431974502307235,0.04576183800448207,0.05984923499926031
0.39799331103678937,0.0,0.0329332168067227,0.019998573005062917,0.03952972628353048,0.027809658360765998,0.046651945470782656,0.03506867124448314,0.05073982389647394,0.03978865752390601,0.053666346932547064,0.04326944867196991,0.05564639939479365,0.04574239296573359,0.057040755051281505
0.43110367892976587,0.0,0.030403823118696677,0.01905304974828668,0.0374947246193657,0.027181818184050143,0.04432534217666177,0.0342445138079299,0.04841596600229345,0.038981838664232056,0.05129115256071783,0.04243885712542318,0.053244783296831445,0.04491011759487424,0.054617280540601276
0.4642140468227425,0.0,0.02823525072046111,0.0178920948566632,0.035699335774940194,0.026149758599791698,0.04229628401148132,0.03298759634912572,0.04636927781904359,0.03767771103809322,0.0491991246212004,0.041081727480055216,0.051124739109640806,0.04352510323555951,0.05247575399849041
0.4973244147157191,0.0,0.026355432414256905,0.016641601531190608,0.034089118326173486,0.024877644251509536,0.04049298601573585,0.03147004043386181,0.04453432343946218,0.03606604346775272,0.04732199499385547,0.03939376785593419,0.04921873848312801,0.04178947689564237,0.0505483687539807
0.5304347826086957,0.0,0.024710295081967225,0.01538355054211718,0.032627507270825015,0.02348408471747122,0.03886667658220719,0.02981700665662964,0.04286672626734286,0.03428599941967071,0.045613791451324916,0.03751984083659364,0.0474812473920646,0.03985339500517274,0.048789506279817985
0.5635451505016723,0.0,0.02325847359050446,0.014167841254395734,0.03128907719832521,0.022050966847546802,0.037383417651386225,0.028116076797636842,0.04133558850787082,0.03243602228479508,0.04404275436241059,0.03556347376059894,0.04588077848870878,0.03782469415006257,0.04716768634610901
0.5966555183946488,0.0,0.02196778475336324,0.01302233066305001,0.030055457599624916,0.02063246359109075,0.03601895586059022,0.026426361466256792,0.03991877411110584,0.030583517149974464,0.04258631580208876,0.03359638086542688,0.044394943387312945,0.035778545697211006,0.04566056708767574
0.6297658862876254,0.0,0.020812813595326617,0.011960413098184328,0.02891284561886232,0.01926270700282365,0.03475545937088766,0.024786151211103877,0.0385999434392601,0.028773026069344784,0.04122795204726743,0.03166661897942352,0.04300734422372635,0.03376573684118205,0.044251810287625995
0.662876254180602,0.0,0.019773223007063582,0.01098637712289318,0.027850478401670917,0.017961782092622197,0.033579431312269495,0.023218899449965177,0.03736666727037371,0.027032651544373683,0.039955188964176984,0.02980506926877209,0.04170559990541203,0.03181926940607178,0.04292909481098487
0.6959866220735786,0.0,0.018832545891398374,0.010099032236295382,0.0268596825970103,0.016740181499014482,0.03248036115676076,0.021737710684252554,0.03620921165065088,0.02537890184972505,0.03875832244381585,0.02803037635500331,0.04048007783331425,0.02995940555315677,0.041682842481953065
0.7290969899665551,0.0,0.01797730642201836,0.009294087628425013,0.02593327264418281,0.015602011834167547,0.031449842103052225,0.02034861892895847,0.035119743857001694,0.023820253990257088,0.03762958644119172,0.026352614972411186,0.039323068227347706,0.028197428804361574,0.04050539014811015
0.7622073578595318,0.0,0.017196370337867493,0.008565670714543713,0.02506516151687565,0.014547249818085327,0.03048098523548807,0.01905293801194673,0.03409180557101575,0.022359728597243323,0.036562604099698345,0.024775964500029255,0.03822823893028128,0.026538399950602344,0.03939044402722548
0.7953177257525084,0.0,0.016480457527333903,0.00790727019464713,0.024250102309414566,0.013573301832484888,0.029568024506743548,0.017848922116678375,0.03311995756203794,0.020996726669314424,0.03555201989611705,0.023300634638564355,0.037190269865009826,0.02498315132679672,0.03833271457486087
0.828428093645485,0.0,0.01582177149777958,0.007312302472611662,0.023483511540741075,0.012676065089289396,0.02870604573639836,0.01673292412392936,0.03219953578136116,0.019728325436459988,0.03459324889024547,0.021924237171404307,0.03620460386646705,0.023529715310089912,0.03732766810216877
0.8615384615384616,0.0,0.015213714285714292,0.006774436025660426,0.022761344381825158,0.011850638187961018,0.027890797154893513,0.01570019345667727,0.03132648074077081,0.018550183015357977,0.03368230265346876,0.020642753472759415,0.035267273788378434,0.02217433802187996,0.036371354789261075
0.8946488294314382,0.0,0.014650664672897202,0.006287762955971123,0.02208000356044032,0.011091788133900035,0.027118554252613798,0.01474541786983623,0.030497215733349653,0.017457162742907834,0.032815666044637884,0.019451209787277726,0.034374780219416555,0.020912191727930966,0.03546028730083684
0.9277591973244147,0.0,0.014127803893294887,0.005846875996496925,0.021436270637202135,0.010394249968864584,0.026386021295137705,0.013863084932006577,0.029708558060077012,0.016443758116646962,0.031990208154231974,0.018344142802473713,0.033524003214724825,0.019737869912300438,0.03459135335013021
0.9608695652173913,0.0,0.013640977375565619,0.005446888558196409,0.02082725254833151,0.009752912486221246,0.02569025796669095,0.013047717532801928,0.028957652890188788,0.015504376819213529,0.031203116533207075,0.017315915664196567,0.03271213720330738,0.018645726516010496,0.03376175134787422
